condition_name,condition_aliases,condition_category,condition_icd_code,drug_generic_name,drug_brand_names,drug_class,adult_dose,pediatric_dose,route,frequency,duration,strength,formulation,line_of_treatment,notes,contraindications
Type 2 Diabetes Mellitus,T2DM;Diabetes;Hyperglycemia;Polyuria;Polydipsia,Endocrine,E11,Metformin,Glycomet;Glucophage,Biguanide,"500-1000 mg BD with food (start 500 mg, escalate based on HbA1c)",,Oral,BD,Continue,500 mg; 1000 mg,Tablet,First line – HbA1c <8.5% (monotherapy),Source: ICMR STW. Lifestyle modification must accompany. HbA1c target ≤7.0%,eGFR <30; IV contrast; acute illness; hepatic failure
Type 2 Diabetes Mellitus,T2DM;Diabetes;Dual Therapy,Endocrine,E11,Metformin + Sulfonylurea (Glimepiride / Gliclazide),Amaryl;Diamicron MR,Biguanide + Sulfonylurea,Metformin 500-1000 mg BD + Glimepiride 1-2 mg OD BBF (or Gliclazide 60 mg MR OD BBF),,Oral,BD+OD,Continue,,Tablet (combination),Second line – HbA1c 8.5-10% (dual therapy),Source: ICMR STW. Dual therapy when monotherapy fails. Monitor for hypoglycemia with SU.,Hypoglycemia risk; renal failure (SU)
Type 2 Diabetes Mellitus,T2DM;Diabetes;Dual Therapy,Endocrine,E11,Metformin + DPP-4 Inhibitor (Sitagliptin / Vildagliptin / Linagliptin),Januvia;Galvus;Trajenta,Biguanide + DPP-4 Inhibitor,Metformin 500-1000 mg BD + Sitagliptin 100 mg OD (or Vildagliptin 50 mg BD or Linagliptin 5 mg OD),,Oral,BD+OD,Continue,,Tablet,Second line – HbA1c 8.5-10% (dual therapy alternative),Source: ICMR STW. Weight neutral. Linagliptin has no dose adjustment in renal failure.,
Type 2 Diabetes Mellitus,T2DM;Diabetes;Dual Therapy;SGLT2,Endocrine,E11,Metformin + SGLT2 Inhibitor (Dapagliflozin / Empagliflozin),Forxiga;Jardiance,Biguanide + SGLT2 Inhibitor,Metformin 500-1000 mg BD + Dapagliflozin 10 mg OD,,Oral,BD+OD,Continue,10 mg,Tablet,Second line – preferred if CVD/HF/CKD,Source: ICMR STW. Cardioprotective and renoprotective. Maintain genital hygiene. Adequate hydration.,eGFR <45; recurrent UTI/genital infections; DKA risk
Type 2 Diabetes Mellitus,T2DM;Diabetes;Dual Therapy;GLP1,Endocrine,E11,Metformin + GLP-1 Receptor Agonist,Ozempic;Victoza,Biguanide + GLP-1 RA,Metformin + GLP-1 RA as per drug-specific dosing,,Oral/SC,OD/Weekly,Continue,,Injection/Oral,Second line – preferred with obesity,Source: ICMR STW. Weight reducing. Preferred if BMI >30 or obesity.,Pancreatitis history; MEN2
Type 2 Diabetes Mellitus,T2DM;Diabetes;Triple Therapy;Insulin,Endocrine,E11,Basal Insulin + Metformin + another OAD,Lantus;Tresiba;Basalog,Insulin (Basal) + OADs,Basal insulin 0.1-0.2 units/kg OD at bedtime; titrate by 2 units every 3 days to FPG 80-130,,SC injection,OD HS,Continue,,Insulin pen/vial,Triple therapy – HbA1c >10%,Source: ICMR STW. Titrate dose every 3 days. Start with 10 units if no weight-based calculation available.,Hypoglycemia; self-injection skill required
Hypothyroidism,Thyroid Deficiency;Low Thyroid;Myxoedema,Endocrine,E03.9,Levothyroxine (LT4),Thyronorm;Eltroxin;Thyroxine,Thyroid Hormone Replacement,1.6-1.8 mcg/kg/day OD fasting; no food for 1 hr after,10-15 mcg/kg/day OD (congenital),Oral,OD fasting,Lifelong,25 mcg; 50 mcg; 75 mcg; 100 mcg; 125 mcg,Tablet,First line – Primary Hypothyroidism,Source: ICMR STW. Take 30-45 min before breakfast. Separate from calcium/iron/antacids by 4 hrs. Target TSH 1-2.5 mU/L (young); 1.5-3 (middle-aged); higher targets in elderly.,Untreated adrenal insufficiency (central hypothyroidism – treat adrenal first)
Hypothyroidism,Thyroid Deficiency;Elderly;CAD,Endocrine,E03.9,Levothyroxine – low-start for elderly/CAD,Thyronorm;Eltroxin,Thyroid Hormone Replacement,Start 12.5-25 mcg/day; increase by 12.5-25 mcg every 3-4 weeks until target TSH,,Oral,OD fasting,Lifelong,12.5 mcg; 25 mcg,Tablet,First line – Elderly patients or known CAD,Source: ICMR STW. Elderly TSH targets: <60 yrs >4.5; 60-70 yrs >6.0; 70-80 yrs >7.0-8.0 mU/L. Avoid rapid correction in elderly.,IHD – aggressive replacement may precipitate angina
Subclinical Hypothyroidism,Subclinical Hypothyroid;High TSH Normal T4,Endocrine,E03.9,Levothyroxine,Thyronorm;Eltroxin,Thyroid Hormone Replacement,Start 25-50 mcg OD; titrate to TSH,,Oral,OD fasting,Continue (reassess annually),25 mcg; 50 mcg,Tablet,Conditional – treat if TSH >10 or presence of symptoms,Source: ICMR STW. Consider treating subclinical hypothyroidism if: large goitre / positive TPO antibody / ASCVD / heart failure / dyslipidemia / infertility / depression / refractory anaemia.,
Congenital Hypothyroidism,Neonatal Hypothyroid;Congenital Hypothyroid,Endocrine,E03.9,Levothyroxine (Neonatal),Thyronorm;Eltroxin,Thyroid Hormone Replacement,,10-15 mcg/kg/day OD (given with breast milk in powdered form),Oral,OD,Lifelong,25 mcg (crushed),Tablet (powdered in breastmilk),First line – Congenital Hypothyroidism,Source: ICMR STW. Follow up at 2 and 4 weeks; every 1-2 months in first 6 months; every 3-4 months from 6 months to 3 yrs. Target FT4: 1.4-2.3 ng/dl; TSH: 0.5-2 mU/L.,
